発生日,借方勘定科目,借方補助科目,借方税区分,借方金額,貸方勘定科目,貸方補助科目,貸方税区分,貸方金額,摘要
2024-09-26,ESPRIME,,,200000,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,200000,楽天銀行 第二営業支店 普通預金 7479790 株式会社 ESPRIM(依頼人名:カイテキブツパン ダイニンコウヘイ 内容: 振込予定日:2024年09月26日 管理番号:20240926-2486
2024-11-26,ESPRIME,,,300000,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,300000,楽天銀行 第二営業支店 普通預金 7479790 株式会社 ESPRIM(依頼人名:カイテキブツパン ダイニンコウヘイ 内容:デポジット入金 振込予定日:2024年11月26日 管理番号:202411
2024-01-25,NTTファイナンスBizカード,,,41444,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,41444,NTTBizカード支払い
2024-02-26,NTTファイナンスBizカード,,,20644,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,20644,NTTBizカード支払い
2024-03-25,NTTファイナンスBizカード,,,20363,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,20363,NTTBizカード支払い
2024-04-25,NTTファイナンスBizカード,,,30879,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,30879,NTTBizカード支払い
2024-05-27,NTTファイナンスBizカード,,,39675,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,39675,NTTBizカード支払い
2024-06-25,NTTファイナンスBizカード,,,63210,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,63210,NTTBizカード支払い
2024-07-25,NTTファイナンスBizカード,,,39910,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,39910,NTTBizカード支払い
2024-08-26,NTTファイナンスBizカード,,,103860,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,103860,NTTBizカード支払い
2024-09-25,NTTファイナンスBizカード,,,54377,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,54377,NTTBizカード支払い
2024-10-25,NTTファイナンスBizカード,,,62153,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,62153,NTTBizカード支払い
2024-11-25,NTTファイナンスBizカード,,,28044,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,28044,NTTBizカード支払い
2024-12-25,NTTファイナンスBizカード,,,24772,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,,,24772,NTTBizカード支払い
