収支区分,発生日,勘定科目,金額,税区分,備考,品目,決済状況,決済口座,決済金額,決済日
収入,2024-01-04,売掛金,8140,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,8140.0,2024-01-04
収入,2024-01-18,売掛金,5669,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,5669.0,2024-01-18
収入,2024-02-15,売掛金,11439,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,11439.0,2024-02-15
収入,2024-02-29,売掛金,13816,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,13816.0,2024-02-29
収入,2024-03-14,売掛金,21756,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,21756.0,2024-03-14
収入,2024-03-31,事業主借,2,,預金利息,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,2.0,2024-03-31
収入,2024-04-11,売掛金,3572,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,3572.0,2024-04-11
収入,2024-05-01,事業主借,109011,,ダイニン コウヘイ 2023年確定申告還付金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,109011.0,2024-05-01
収入,2024-05-09,売掛金,7630,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,7630.0,2024-05-09
収入,2024-05-23,売掛金,4727,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,4727.0,2024-05-23
収入,2024-06-20,売掛金,2518,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,2518.0,2024-06-20
収入,2024-06-22,雑収入,26000,,ダイニン マユミ ジュエリ-ケ-ス代,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,26000.0,2024-06-22
収入,2024-07-18,売掛金,2936,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,2936.0,2024-07-18
収入,2024-08-15,売掛金,5940,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,5940.0,2024-08-15
収入,2024-08-29,売掛金,17979,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,17979.0,2024-08-29
収入,2024-09-12,売掛金,2063,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,2063.0,2024-09-12
収入,2024-09-26,売掛金,40483,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,40483.0,2024-09-26
収入,2024-09-26,事業主借,300000,,ダイニン コウヘイ 事業主借,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,300000.0,2024-09-26
収入,2024-09-30,雑収入,48,,預金利息,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,48.0,2024-09-30
収入,2024-10-10,売掛金,5162,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,5162.0,2024-10-10
収入,2024-10-24,売掛金,46318,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,46318.0,2024-10-24
収入,2024-11-07,売掛金,38653,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,38653.0,2024-11-07
収入,2024-11-21,売掛金,87331,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,87331.0,2024-11-21
収入,2024-12-05,売掛金,14289,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,14289.0,2024-12-05
収入,2024-12-19,売掛金,48408,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,48408.0,2024-12-19
収入,2024-12-25,売掛金,10000,,セールモンスター売上入金,セールモンスター,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,10000.0,2024-12-25
収入,2024-06-17,仕入高,650,,PO-0011の3個食事エプロン返金,商品代金,完了,ESPRIME,650.0,2024-06-17
収入,2024-09-27,雑費,1,,シート変更に伴う端数調整,,完了,ESPRIME,1.0,2024-09-27
支出,2024-01-01,売掛金,8140,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-01-01,売掛金,24106,,期首残高調整,,未決済,,,
支出,2024-01-15,売掛金,5669,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-01-29,売掛金,1680,,Amazonへの支払い,Amazon出品者アカウント,完了,NTTファイナンスBizカード,1680.0,2024-01-29
支出,2024-02-12,売掛金,11439,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-02-26,売掛金,13816,,受け取り,Amazon出品者アカウント,未決済,,,
