収支区分,発生日,勘定科目,金額,税区分,備考,品目,決済状況,決済口座,決済金額,決済日
収入,2023-03-29,事業主借,300000,,ダイニン コウヘイ ビジネス口座 事業資金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,300000.0,2023-03-29
収入,2023-04-12,事業主借,500000,,事業資金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,500000.0,2023-04-12
収入,2023-05-11,売掛金,13726,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,13726.0,2023-05-11
収入,2023-05-25,売掛金,4545,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,4545.0,2023-05-25
収入,2023-07-18,事業主借,600000,,ダイニン コウヘイ 楽天証券引き落とし分,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,600000.0,2023-07-18
収入,2023-07-20,売掛金,16084,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,16084.0,2023-07-20
収入,2023-08-03,売掛金,13176,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,13176.0,2023-08-03
収入,2023-08-05,事業主借,500000,,ダイニン コウヘイ 追加資金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,500000.0,2023-08-05
収入,2023-08-17,売掛金,3956,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,3956.0,2023-08-17
収入,2023-08-31,売掛金,7998,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,7998.0,2023-08-31
収入,2023-09-14,売掛金,13240,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,13240.0,2023-09-14
収入,2023-09-30,雑収入,1,,預金利息,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,1.0,2023-09-30
収入,2023-10-12,売掛金,6279,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,6279.0,2023-10-12
収入,2023-10-26,売掛金,10911,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,10911.0,2023-10-26
収入,2023-11-09,売掛金,12135,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,12135.0,2023-11-09
収入,2023-11-24,売掛金,11501,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,11501.0,2023-11-24
収入,2023-12-07,売掛金,6518,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,6518.0,2023-12-07
収入,2023-12-21,売掛金,6042,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,6042.0,2023-12-21
収入,2023-01-01,事業主借,200000,,"2022/06/21_仕入高_三井住友銀行 東京第一支店 普通預金 4205671 カ) イ-ウ-パスポ-ト(依頼人名:ダイニン コウヘイ 振込予定日:2022年06月22日 管理番号:20220621-86478411)（9,857元×20.29円／元）",,完了,YP,200000.0,2023-01-01
収入,2023-05-24,仕入高,30597,,"PO-0003_商品代金返金　不良品（△1,536元×19.92円／元）",,完了,YP,30597.0,2023-05-24
支出,2023-02-27,売掛金,15078,,Amazon不足額支払い,,未決済,,,
支出,2023-03-31,売掛金,21693,,,,未決済,,,
支出,2023-04-30,売掛金,4359,,,,未決済,,,
支出,2023-05-31,売掛金,3228,,,,未決済,,,
支出,2023-06-05,売掛金,13853,,Amazon不足額支払い,,完了,NTTファイナンスBizカード,13853.0,2023-06-05
支出,2023-06-19,売掛金,1129,,AMAZON.CO.JP,,完了,NTTファイナンスBizカード,1129.0,2023-06-19
支出,2023-07-03,売掛金,36318,,Amazonへの不足額支払い,,完了,NTTファイナンスBizカード,36318.0,2023-07-03
支出,2023-07-31,売掛金,13950,,Amazon 7月分,,未決済,,,
支出,2023-08-31,売掛金,15716,,Amazon 8月分,,未決済,,,
支出,2023-09-30,売掛金,11748,,Amazon 9月分,,未決済,,,
支出,2023-10-31,売掛金,19855,,Amazon 10月分,,未決済,,,
支出,2023-12-31,売掛金,4085,,Amazon 12月分,,未決済,,,
支出,2023-01-31,商品,27926,,期末在庫金額,,未決済,,,
支出,2023-02-28,商品,18656,,FBAの期末在庫金額,,未決済,,,
支出,2023-03-31,商品,38552,,FBAの期末在庫金額,,未決済,,,
支出,2023-04-30,商品,34703,,期末在庫金額,,未決済,,,
支出,2023-05-31,商品,263750,,期末在庫金額,,未決済,,,
支出,2023-06-30,商品,206716,,期末在庫金額,,未決済,,,
支出,2023-07-31,商品,166158,,期末在庫金額,,未決済,,,
支出,2023-08-31,商品,152355,,期末在庫金額,,未決済,,,
支出,2023-09-30,商品,141740,,期末在庫金額,,未決済,,,
支出,2023-10-31,商品,108770,,期末在庫金額,,未決済,,,
支出,2023-11-30,商品,102619,,期末在庫金額,,未決済,,,
支出,2023-12-31,商品,93389,,期末在庫金額,,未決済,,,
支出,2023-01-01,開業費,980,,2022/01/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,5200,,2022/01/17_通信費_EVERNOTE利用国CHE,,未決済,,,
支出,2023-01-01,開業費,8130,,2022/01/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,980,,2022/02/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
